season,date,home_team,away_team,temperature,divisional,week,game_time,over_under,day,ou_result,win_percentage_home,win_percentage_away,spread_home,spread_away,result_home,result_away,vs_line_home,vs_line_away,after_bye_home,after_bye_away,actual_result_home,actual_result_away
2024,2024-10-06,MIN,NYJ,59,0,5,early,41,Sun,under,0.833,0.25,-2.5,2.5,W 23-17,L 17-23,covered,did not cover,0,0,-6,6
2024,2024-09-29,GNB,MIN,71,1,4,early,44,Sun,over,0.692,0.833,-3,3,L 29-31,W 31-29,did not cover,covered,0,0,2,-2
2024,2024-09-22,MIN,HOU,63,0,3,early,46.5,Sun,under,0.833,0.615,1,-1,W 34-7,L 7-34,covered,did not cover,0,0,-27,27
2024,2024-09-15,MIN,SFO,82,0,2,early,46,Sun,under,0.833,0.417,4.5,-4.5,W 23-17,L 17-23,covered,did not cover,0,0,-6,6
2024,2024-09-08,NYG,MIN,64,0,1,early,41,Sun,under,0.167,0.833,1.5,-1.5,L 6-28,W 28-6,did not cover,covered,0,0,22,-22
2024,2024-11-03,MIN,IND,47,0,9,night,47,Sun,under,0.833,0.462,-5.5,5.5,W 21-13,L 13-21,covered,did not cover,0,0,-8,8
2024,2024-10-24,LAR,MIN,66,0,8,night,48,Thu,over,0.5,0.833,3,-3,W 30-20,L 20-30,covered,did not cover,0,0,-10,10
2024,2024-10-27,CIN,PHI,59,0,8,early,47.5,Sun,over,0.333,0.833,-2.5,2.5,L 17-37,W 37-17,did not cover,covered,0,0,20,-20
2024,2024-10-20,NYG,PHI,71,1,7,early,43,Sun,under,0.167,0.833,3,-3,L 3-28,W 28-3,did not cover,covered,0,0,25,-25
2024,2024-10-13,PHI,CLE,82,0,6,early,42.5,Sun,under,0.833,0.25,-9.5,9.5,W 20-16,L 16-20,did not cover,covered,1,0,-4,4
2024,2024-09-29,TAM,PHI,88,0,4,early,42.5,Sun,over,0.5,0.833,1,-1,W 33-16,L 16-33,covered,did not cover,0,0,-17,17
2024,2024-09-22,NOR,PHI,87,0,3,early,49.5,Sun,under,0.333,0.833,-2.5,2.5,L 12-15,W 15-12,did not cover,covered,0,0,3,-3
2024,2024-12-01,BAL,PHI,41,0,13,afternoon,51,Sun,under,0.615,0.833,-3,3,L 19-24,W 24-19,did not cover,covered,0,0,5,-5
2024,2024-11-10,DAL,PHI,78,1,10,afternoon,43.5,Sun,under,0.417,0.833,7.5,-7.5,L 6-34,W 34-6,did not cover,covered,0,0,28,-28
2024,2024-11-03,PHI,JAX,57,0,9,afternoon,45.5,Sun,over,0.833,0.167,-7.5,7.5,W 28-23,L 23-28,did not cover,covered,0,0,-5,5
2024,2024-11-24,LAR,PHI,57,0,12,night,49,Sun,over,0.5,0.833,3,-3,L 20-37,W 37-20,did not cover,covered,0,0,17,-17
2024,2024-11-14,PHI,WAS,46,1,11,night,48.5,Thu,under,0.833,0.615,-3.5,3.5,W 26-18,L 18-26,covered,did not cover,0,0,-8,8
2024,2024-09-16,PHI,ATL,71,0,2,night,45.5,Mon,under,0.833,0.5,-5.5,5.5,L 21-22,W 22-21,did not cover,covered,0,0,1,-1
2024,2024-09-06,PHI,GNB,63,0,1,night,49.5,Fri,over,0.833,0.692,-2,2,W 34-29,L 29-34,covered,did not cover,0,0,-5,5
2022,2023-01-01,KAN,DEN,47,1,17,early,45,Sun,over,0.824,0.294,-12.5,12.5,W 27-24,L 24-27,did not cover,covered,0,0,-3,3
2022,2022-12-24,KAN,SEA,12,0,16,early,49.5,Sat,under,0.824,0.529,-10,10,W 24-10,L 10-24,covered,did not cover,0,0,-14,14
2022,2022-12-18,HOU,KAN,50,0,15,early,48.5,Sun,over,0.206,0.824,14.5,-14.5,L 24-30 (OT),W 30-24 (OT),covered,did not cover,0,0,6,-6
2022,2022-11-13,KAN,JAX,33,0,10,early,51,Sun,under,0.824,0.529,-9,9,W 27-17,L 17-27,covered,did not cover,0,0,-10,10
2022,2022-09-25,IND,KAN,65,0,3,early,51,Sun,under,0.265,0.824,5.5,-5.5,W 20-17,L 17-20,covered,did not cover,0,0,-3,3
2022,2023-01-07,LVR,KAN,55,1,18,afternoon,52.5,Sat,under,0.353,0.824,9,-9,L 13-31,W 31-13,did not cover,covered,0,0,18,-18
2022,2022-12-11,DEN,KAN,55,1,14,afternoon,44,Sun,over,0.294,0.824,8.5,-8.5,L 28-34,W 34-28,covered,did not cover,0,0,6,-6
2022,2022-12-04,CIN,KAN,57,0,13,afternoon,53,Sun,under,0.75,0.824,2.5,-2.5,W 27-24,L 24-27,covered,did not cover,0,0,-3,3
2022,2022-11-27,KAN,LAR,44,0,12,afternoon,42,Sun,under,0.824,0.294,-15.5,15.5,W 26-10,L 10-26,covered,did not cover,0,0,-16,16
2022,2022-10-23,SFO,KAN,64,0,7,afternoon,49,Sun,over,0.765,0.824,1,-1,L 23-44,W 44-23,did not cover,covered,0,0,21,-21
2022,2022-09-11,ARI,KAN,0,0,1,afternoon,54,Sun,over,0.235,0.824,6.5,-6.5,L 21-44,W 44-21,did not cover,covered,0,0,23,-23
2022,2022-11-20,LAC,KAN,69,1,11,night,52.5,Sun,over,0.588,0.824,5,-5,L 27-30,W 30-27,covered,did not cover,0,0,3,-3
2022,2022-11-06,KAN,TEN,54,0,9,night,45.5,Sun,under,0.824,0.412,-12.5,12.5,W 20-17 (OT),L 17-20 (OT),did not cover,covered,1,0,-3,3
2022,2022-10-10,KAN,LVR,77,1,5,night,51.5,Mon,over,0.824,0.353,-7,7,W 30-29,L 29-30,did not cover,covered,0,0,-1,1
2022,2022-10-02,TAM,KAN,75,0,4,night,46,Sun,over,0.471,0.824,-1,1,L 31-41,W 41-31,did not cover,covered,0,0,10,-10
2022,2023-01-01,PHI,NOR,54,0,17,early,41.5,Sun,under,0.824,0.412,-5.5,5.5,L 10-20,W 20-10,did not cover,covered,0,0,10,-10
2022,2022-12-18,CHI,PHI,17,0,15,early,48.5,Sun,under,0.176,0.824,8.5,-8.5,L 20-25,W 25-20,covered,did not cover,1,0,5,-5
2022,2022-12-11,NYG,PHI,37,1,14,early,45,Sun,over,0.559,0.824,7,-7,L 22-48,W 48-22,did not cover,covered,0,0,26,-26
2022,2022-12-04,PHI,TEN,60,0,13,early,44,Sun,over,0.824,0.412,-4,4,W 35-10,L 10-35,covered,did not cover,0,0,-25,25
2022,2022-11-20,IND,PHI,27,0,11,early,45.5,Sun,under,0.265,0.824,6.5,-6.5,L 16-17,W 17-16,covered,did not cover,0,0,1,-1
2022,2022-10-30,PHI,PIT,61,0,8,early,43,Sun,over,0.824,0.529,-10.5,10.5,W 35-13,L 13-35,covered,did not cover,1,0,-22,22
2022,2022-10-02,PHI,JAX,57,0,4,early,45.5,Sun,over,0.824,0.529,-6.5,6.5,W 29-21,L 21-29,covered,did not cover,0,0,-8,8
2022,2022-09-25,WAS,PHI,72,1,3,early,47.5,Sun,under,0.5,0.824,6,-6,L 8-24,W 24-8,did not cover,covered,0,0,16,-16
2022,2022-09-11,DET,PHI,68,0,1,early,48.5,Sun,over,0.529,0.824,6,-6,L 35-38,W 38-35,covered,did not cover,0,0,3,-3
2022,2023-01-08,PHI,NYG,43,1,18,afternoon,42,Sun,under,0.824,0.559,-16,16,W 22-16,L 16-22,did not cover,covered,0,0,-6,6
2022,2022-12-24,DAL,PHI,35,1,16,afternoon,47,Sat,over,0.706,0.824,-4.5,4.5,W 40-34,L 34-40,covered,did not cover,0,0,-6,6
2022,2022-10-09,ARI,PHI,0,0,5,afternoon,49,Sun,under,0.235,0.824,5,-5,L 17-20,W 20-17,covered,did not cover,0,0,3,-3
2022,2022-11-27,PHI,GNB,62,0,12,night,46,Sun,over,0.824,0.471,-6.5,6.5,W 40-33,L 33-40,covered,did not cover,0,0,-7,7
2022,2022-11-14,PHI,WAS,43,1,10,night,43.5,Mon,over,0.824,0.5,-10.5,10.5,L 21-32,W 32-21,did not cover,covered,0,0,11,-11
2022,2022-11-03,HOU,PHI,77,0,9,night,45.5,Thu,over,0.206,0.824,13.5,-13.5,L 17-29,W 29-17,covered,did not cover,0,0,12,-12
2022,2022-10-16,PHI,DAL,63,1,6,night,42,Sun,over,0.824,0.706,-6.5,6.5,W 26-17,L 17-26,covered,did not cover,0,0,-9,9
2022,2022-09-19,PHI,MIN,76,0,2,night,50.5,Mon,under,0.824,0.765,-2.5,2.5,W 24-7,L 7-24,covered,did not cover,0,0,-17,17
2022,2023-01-08,BUF,NWE,30,1,18,early,43.5,Sun,over,0.813,0.471,-7.5,7.5,W 35-23,L 23-35,covered,did not cover,1,0,-12,12
2022,2022-12-24,CHI,BUF,7,0,16,early,40,Sat,over,0.176,0.813,8,-8,L 13-35,W 35-13,did not cover,covered,0,0,22,-22
2022,2022-12-11,BUF,NYJ,36,1,14,early,43,Sun,under,0.813,0.412,-10,10,W 20-12,L 12-20,did not cover,covered,0,0,-8,8
2022,2022-11-24,DET,BUF,44,0,12,early,54.5,Thu,under,0.529,0.813,9.5,-9.5,L 25-28,W 28-25,covered,did not cover,0,0,3,-3
2022,2022-11-20,BUF,CLE,24,0,11,early,50,Sun,over,0.813,0.412,-7.5,7.5,W 31-23,L 23-31,covered,did not cover,0,0,-8,8
2022,2022-11-13,BUF,MIN,38,0,10,early,44.5,Sun,over,0.813,0.765,-6.5,6.5,L 30-33 (OT),W 33-30 (OT),did not cover,covered,0,0,3,-3
2022,2022-11-06,NYJ,BUF,69,1,9,early,46,Sun,under,0.412,0.813,11,-11,W 20-17,L 17-20,covered,did not cover,0,0,-3,3
2022,2022-10-09,BUF,PIT,55,0,5,early,45.5,Sun,under,0.813,0.529,-14,14,W 38-3,L 3-38,covered,did not cover,0,0,-35,35
2022,2022-10-02,BAL,BUF,58,0,4,early,51,Sun,under,0.588,0.813,3,-3,L 20-23,W 23-20,push,push,0,0,3,-3
2022,2022-09-25,MIA,BUF,89,1,3,early,53,Sun,under,0.529,0.813,4.5,-4.5,W 21-19,L 19-21,covered,did not cover,0,0,-2,2
2022,2022-12-01,NWE,BUF,35,1,13,night,43.5,Thu,under,0.471,0.813,3.5,-3.5,L 10-24,W 24-10,did not cover,covered,0,0,14,-14
2022,2022-10-30,BUF,GNB,50,0,8,night,47,Sun,under,0.813,0.471,-10.5,10.5,W 27-17,L 17-27,did not cover,covered,1,0,-10,10
2022,2022-09-19,BUF,TEN,70,0,2,night,47.5,Mon,over,0.813,0.412,-10,10,W 41-7,L 7-41,covered,did not cover,0,0,-34,34
2022,2022-09-08,LAR,BUF,88,0,1,night,52,Thu,under,0.294,0.813,2.5,-2.5,L 10-31,W 31-10,did not cover,covered,0,0,21,-21
2023,2023-12-31,BAL,MIA,50,0,17,early,46.5,Sun,over,0.765,0.647,-3.5,3.5,W 56-19,L 19-56,covered,did not cover,0,0,-37,37
2023,2023-12-10,BAL,LAR,57,0,14,early,39.5,Sun,over,0.765,0.588,-7.5,7.5,W 37-31 (OT),L 31-37 (OT),did not cover,covered,1,0,-6,6
2023,2023-11-12,BAL,CLE,49,1,10,early,38.5,Sun,over,0.765,0.647,-6,6,L 31-33,W 33-31,did not cover,covered,0,0,2,-2
2023,2023-11-05,BAL,SEA,70,0,9,early,44.5,Sun,under,0.765,0.529,-6.5,6.5,W 37-3,L 3-37,covered,did not cover,0,0,-34,34
2023,2023-10-22,BAL,DET,62,0,7,early,43.5,Sun,over,0.765,0.706,-3,3,W 38-6,L 6-38,covered,did not cover,0,0,-32,32
2023,2023-10-15,TEN,BAL,52,0,6,early,42.5,Sun,under,0.353,0.765,5,-5,L 16-24,W 24-16,did not cover,covered,0,0,8,-8
2023,2023-10-08,PIT,BAL,53,1,5,early,38.5,Sun,under,0.588,0.765,4.5,-4.5,W 17-10,L 10-17,covered,did not cover,0,0,-7,7
2023,2023-10-01,CLE,BAL,71,1,4,early,41,Sun,under,0.647,0.765,2.5,-2.5,L 3-28,W 28-3,did not cover,covered,0,0,25,-25
2023,2023-09-24,BAL,IND,68,0,3,early,44.5,Sun,under,0.765,0.529,-7.5,7.5,L 19-22 (OT),W 22-19 (OT),did not cover,covered,0,0,3,-3
2023,2023-09-17,CIN,BAL,72,1,2,early,45.5,Sun,over,0.529,0.765,-3.5,3.5,L 24-27,W 27-24,did not cover,covered,0,0,3,-3
2023,2023-09-10,BAL,HOU,78,0,1,early,43.5,Sun,under,0.765,0.588,-9.5,9.5,W 25-9,L 9-25,covered,did not cover,0,0,-16,16
2023,2024-01-06,BAL,PIT,38,1,18,afternoon,34.5,Sat,under,0.765,0.588,3,-3,L 10-17,W 17-10,did not cover,covered,0,0,7,-7
2023,2023-10-29,ARI,BAL,75,0,8,afternoon,44.5,Sun,over,0.235,0.765,9.5,-9.5,L 24-31,W 31-24,covered,did not cover,0,0,7,-7
2023,2023-12-25,SFO,BAL,56,0,16,night,46.5,Mon,over,0.706,0.765,-6,6,L 19-33,W 33-19,did not cover,covered,0,0,14,-14
2023,2023-12-17,JAX,BAL,58,0,15,night,42,Sun,under,0.529,0.765,3,-3,L 7-23,W 23-7,did not cover,covered,0,0,16,-16
2023,2023-11-26,LAC,BAL,64,0,12,night,48,Sun,under,0.294,0.765,3,-3,L 10-20,W 20-10,did not cover,covered,0,0,10,-10
2023,2023-11-16,BAL,CIN,56,1,11,night,46,Thu,over,0.765,0.529,-4,4,W 34-20,L 20-34,covered,did not cover,0,0,-14,14
2022,2023-01-08,CHI,MIN,32,1,18,early,42.5,Sun,under,0.176,0.765,7,-7,L 13-29,W 29-13,did not cover,covered,0,0,16,-16
2022,2022-12-24,MIN,NYG,2,0,16,early,49.5,Sat,over,0.765,0.559,-4,4,W 27-24,L 24-27,did not cover,covered,0,0,-3,3
2022,2022-12-17,MIN,IND,19,0,15,early,47.5,Sat,over,0.765,0.265,-3.5,3.5,W 39-36 (OT),L 36-39 (OT),did not cover,covered,0,1,-3,3
2022,2022-12-11,DET,MIN,40,1,14,early,51.5,Sun,over,0.529,0.765,-2,2,W 34-23,L 23-34,covered,did not cover,0,0,-11,11
2022,2022-12-04,MIN,NYJ,37,0,13,early,44.5,Sun,over,0.765,0.412,-3,3,W 27-22,L 22-27,covered,did not cover,0,0,-5,5
2022,2022-11-06,WAS,MIN,71,0,9,early,43.5,Sun,under,0.5,0.765,3,-3,L 17-20,W 20-17,push,push,0,0,3,-3
2022,2022-10-30,MIN,ARI,56,0,8,early,48.5,Sun,over,0.765,0.235,-3.5,3.5,W 34-26,L 26-34,covered,did not cover,1,0,-8,8
2022,2022-10-16,MIA,MIN,86,0,6,early,45.5,Sun,under,0.529,0.765,3,-3,L 16-24,W 24-16,did not cover,covered,0,0,8,-8
2022,2022-10-09,MIN,CHI,59,1,5,early,44,Sun,over,0.765,0.176,-7.5,7.5,W 29-22,L 22-29,did not cover,covered,0,0,-7,7
2022,2022-10-02,NOR,MIN,64,0,4,early,42,Sun,over,0.412,0.765,3.5,-3.5,L 25-28,W 28-25,covered,did not cover,0,0,3,-3
2022,2022-09-25,MIN,DET,65,1,3,early,52.5,Sun,under,0.765,0.529,-6,6,W 28-24,L 24-28,did not cover,covered,0,0,-4,4
2022,2023-01-01,GNB,MIN,39,1,17,afternoon,47.5,Sun,over,0.471,0.765,-3,3,W 41-17,L 17-41,covered,did not cover,0,0,-24,24
2022,2022-11-20,MIN,DAL,29,0,11,afternoon,48.5,Sun,under,0.765,0.706,1.5,-1.5,L 3-40,W 40-3,did not cover,covered,0,0,37,-37
2022,2022-09-11,MIN,GNB,73,1,1,afternoon,46,Sun,under,0.765,0.471,-2.5,2.5,W 23-7,L 7-23,covered,did not cover,0,0,-16,16
2022,2022-11-24,MIN,NWE,36,0,12,night,42.5,Thu,over,0.765,0.471,-2.5,2.5,W 33-26,L 26-33,covered,did not cover,0,0,-7,7
2022,2022-10-16,ATL,SFO,77,0,6,early,45,Sun,under,0.412,0.765,4.5,-4.5,W 28-14,L 14-28,covered,did not cover,0,0,-14,14
2022,2022-09-11,CHI,SFO,69,0,1,early,38,Sun,under,0.176,0.765,6,-6,W 19-10,L 10-19,covered,did not cover,0,0,-9,9
2022,2023-01-08,SFO,ARI,57,1,18,afternoon,39.5,Sun,over,0.765,0.235,-14,14,W 38-13,L 13-38,covered,did not cover,0,0,-25,25
2022,2023-01-01,LVR,SFO,59,0,17,afternoon,42.5,Sun,over,0.353,0.765,9.5,-9.5,L 34-37 (OT),W 37-34 (OT),covered,did not cover,0,0,3,-3
2022,2022-12-24,SFO,WAS,54,0,16,afternoon,37.5,Sat,over,0.765,0.5,-6.5,6.5,W 37-20,L 20-37,covered,did not cover,0,0,-17,17
2022,2022-12-11,SFO,TAM,54,0,14,afternoon,37.5,Sun,over,0.765,0.471,-3.5,3.5,W 35-7,L 7-35,covered,did not cover,0,0,-28,28
2022,2022-12-04,SFO,MIA,58,0,13,afternoon,45.5,Sun,over,0.765,0.529,-4.5,4.5,W 33-17,L 17-33,covered,did not cover,0,0,-16,16
2022,2022-11-27,SFO,NOR,59,0,12,afternoon,43,Sun,under,0.765,0.412,-9,9,W 13-0,L 0-13,covered,did not cover,0,0,-13,13
2022,2022-10-30,LAR,SFO,75,1,8,afternoon,42,Sun,over,0.294,0.765,-2.5,2.5,L 14-31,W 31-14,did not cover,covered,1,0,17,-17
2022,2022-10-09,CAR,SFO,68,0,5,afternoon,39.5,Sun,over,0.412,0.765,6.5,-6.5,L 15-37,W 37-15,did not cover,covered,0,0,22,-22
2022,2022-12-15,SEA,SFO,39,1,15,night,43,Thu,under,0.529,0.765,3,-3,L 13-21,W 21-13,did not cover,covered,0,0,8,-8
2022,2022-11-21,ARI,SFO,64,1,11,night,43,Mon,over,0.235,0.765,8,-8,L 10-38,W 38-10,did not cover,covered,0,0,28,-28
2022,2022-11-13,SFO,LAC,57,0,10,night,45,Sun,under,0.765,0.588,-7.5,7.5,W 22-16,L 16-22,did not cover,covered,1,0,-6,6
2022,2022-10-03,SFO,LAR,73,1,4,night,42.5,Mon,under,0.765,0.294,-1.5,1.5,W 24-9,L 9-24,covered,did not cover,0,0,-15,15
2022,2022-09-25,DEN,SFO,73,0,3,night,44.5,Sun,under,0.294,0.765,1.5,-1.5,W 11-10,L 10-11,covered,did not cover,0,0,-1,1
2021,2022-01-09,DET,GNB,36,1,18,early,44.5,Sun,over,0.206,0.765,3,-3,W 37-30,L 30-37,covered,did not cover,0,0,-7,7
2021,2021-12-19,BAL,GNB,43,0,15,early,45,Sun,over,0.471,0.765,9.5,-9.5,L 30-31,W 31-30,covered,did not cover,0,0,1,-1
2021,2021-11-21,MIN,GNB,34,1,11,early,47,Sun,over,0.471,0.765,1,-1,W 34-31,L 31-34,covered,did not cover,0,0,-3,3
2021,2021-10-24,GNB,WAS,49,0,7,early,48,Sun,under,0.765,0.412,-8,8,W 24-10,L 10-24,covered,did not cover,0,0,-14,14
2021,2021-10-17,CHI,GNB,59,1,6,early,44,Sun,under,0.353,0.765,6,-6,L 14-24,W 24-14,did not cover,covered,0,0,10,-10
2021,2021-10-10,CIN,GNB,76,0,5,early,51,Sun,under,0.588,0.765,3,-3,L 22-25 (OT),W 25-22 (OT),push,push,0,0,3,-3
2021,2021-12-25,GNB,CLE,35,0,16,afternoon,46.5,Sat,under,0.765,0.471,-7.5,7.5,W 24-22,L 22-24,did not cover,covered,0,0,-2,2
2021,2021-11-28,GNB,LAR,37,0,12,afternoon,46.5,Sun,over,0.765,0.706,2,-2,W 36-28,L 28-36,covered,did not cover,0,1,-8,8
2021,2021-11-14,GNB,SEA,35,0,10,afternoon,49.5,Sun,under,0.765,0.412,-3.5,3.5,W 17-0,L 0-17,covered,did not cover,0,1,-17,17
2021,2021-11-07,KAN,GNB,51,0,9,afternoon,48,Sun,under,0.706,0.765,-7.5,7.5,W 13-7,L 7-13,did not cover,covered,0,0,-6,6
2021,2021-10-03,GNB,PIT,67,0,4,afternoon,44.5,Sun,under,0.765,0.559,-6,6,W 27-17,L 17-27,covered,did not cover,0,0,-10,10
2021,2021-09-12,NOR,GNB,86,0,1,afternoon,49.5,Sun,under,0.529,0.765,3.5,-3.5,W 38-3,L 3-38,covered,did not cover,0,0,-35,35
2021,2022-01-02,GNB,MIN,11,1,17,night,42.5,Sun,over,0.765,0.471,-13,13,W 37-10,L 10-37,covered,did not cover,0,0,-27,27
2021,2021-12-12,GNB,CHI,36,1,14,night,43,Sun,over,0.765,0.353,-11.5,11.5,W 45-30,L 30-45,covered,did not cover,1,0,-15,15
2021,2021-10-28,ARI,GNB,84,0,8,night,50.5,Thu,under,0.647,0.765,-6.5,6.5,L 21-24,W 24-21,did not cover,covered,0,0,3,-3
2021,2021-09-26,SFO,GNB,69,0,3,night,50.5,Sun,over,0.588,0.765,-3,3,L 28-30,W 30-28,did not cover,covered,0,0,2,-2
2021,2021-09-20,GNB,DET,73,1,2,night,48,Mon,over,0.765,0.206,-11.5,11.5,W 35-17,L 17-35,covered,did not cover,0,0,-18,18
2021,2022-01-09,TAM,CAR,80,1,18,early,41.5,Sun,over,0.765,0.294,-9,9,W 41-17,L 17-41,covered,did not cover,0,0,-24,24
2021,2022-01-02,NYJ,TAM,57,0,17,early,45.5,Sun,over,0.235,0.765,13.5,-13.5,L 24-28,W 28-24,covered,did not cover,0,0,4,-4
