,,,,,,,,,,,,,,,,
Rk,Team,Date,Spread,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result,Game time
69,WAS,11/3/24,-4,44,52,Sun,9,9,@,NYG,W 27-22,-4,covered,44,over,early
70,CLE,11/3/24,1,42.5,57,Sun,9,9,,LAC,L 10-27,1,did not cover,42.5,under,early
71,TEN,11/3/24,-3.5,38.5,75,Sun,8,9,,NWE,W 20-17 (OT),-3.5,did not cover,38.5,under,early
72,NWE,11/3/24,3.5,38.5,75,Sun,9,9,@,TEN,L 17-20 (OT),3.5,covered,38.5,under,early
73,ATL,11/3/24,-3,52,66,Sun,9,9,,DAL,W 27-21,-3,covered,52,under,early
74,BAL,11/3/24,-9.5,46.5,57,Sun,9,9,,DEN,W 41-10,-9.5,covered,46.5,over,early
75,CIN,10/27/24,-2.5,47.5,59,Sun,8,8,,PHI,L 17-37,-2.5,did not cover,47.5,over,early
76,ARI,10/27/24,4,46,82,Sun,8,8,@,MIA,W 28-27,4,covered,46,over,early
77,NWE,10/27/24,7,41,53,Sun,8,8,,NYJ,W 25-22,7,covered,41,over,early
78,NYJ,10/27/24,-7,41,53,Sun,8,8,@,NWE,L 22-25,-7,did not cover,41,over,early
79,GNB,10/27/24,-4,49.5,84,Sun,8,8,@,JAX,W 30-27,-4,did not cover,49.5,over,early
80,MIA,10/27/24,-4,46,82,Sun,7,8,,ARI,L 27-28,-4,did not cover,46,over,early
81,ATL,10/27/24,-2.5,45.5,79,Sun,8,8,@,TAM,W 31-26,-2.5,covered,45.5,over,early
82,CLE,10/27/24,9,45.5,52,Sun,8,8,,BAL,W 29-24,9,covered,45.5,over,early
83,TEN,10/27/24,11.5,44.5,56,Sun,7,8,@,DET,L 14-52,11.5,did not cover,44.5,over,early
84,PHI,10/27/24,2.5,47.5,59,Sun,7,8,@,CIN,W 37-17,2.5,covered,47.5,over,early
85,DET,10/27/24,-11.5,44.5,56,Sun,7,8,,TEN,W 52-14,-11.5,covered,44.5,over,early
86,HOU,10/27/24,-5,45.5,82,Sun,8,8,,IND,W 23-20,-5,did not cover,45.5,under,early
87,IND,10/27/24,5,45.5,82,Sun,8,8,@,HOU,L 20-23,5,covered,45.5,under,early
88,JAX,10/27/24,4,49.5,84,Sun,8,8,,GNB,L 27-30,4,covered,49.5,over,early
89,BAL,10/27/24,-9,45.5,52,Sun,8,8,@,CLE,L 24-29,-9,did not cover,45.5,over,early
90,TAM,10/27/24,2.5,45.5,79,Sun,8,8,,ATL,L 26-31,2.5,did not cover,45.5,over,early
91,ATL,10/20/24,-3,52,69,Sun,7,7,,SEA,L 14-34,-3,did not cover,52,under,early
92,BUF,10/20/24,-9.5,41,66,Sun,7,7,,TEN,W 34-10,-9.5,covered,41,over,early
93,SEA,10/20/24,3,52,69,Sun,7,7,@,ATL,W 34-14,3,covered,52,under,early
94,HOU,10/20/24,3,48,72,Sun,7,7,@,GNB,L 22-24,3,covered,48,under,early
95,MIN,10/20/24,-1,50.5,69,Sun,6,7,,DET,L 29-31,-1,did not cover,50.5,over,early
96,JAX,10/20/24,-6.5,42.5,63,Sun,7,7,,NWE,W 32-16,-6.5,covered,42.5,over,early
97,CIN,10/20/24,-5.5,41,62,Sun,7,7,@,CLE,W 21-14,-5.5,covered,41,under,early
98,NYG,10/20/24,3,43,71,Sun,7,7,,PHI,L 3-28,3,did not cover,43,under,early
99,DET,10/20/24,1,50.5,69,Sun,6,7,@,MIN,W 31-29,1,covered,50.5,over,early
100,TEN,10/20/24,9.5,41,66,Sun,6,7,@,BUF,L 10-34,9.5,did not cover,41,over,early
101,PHI,10/20/24,-3,43,71,Sun,6,7,@,NYG,W 28-3,-3,covered,43,under,early
102,NWE,10/20/24,6.5,42.5,63,Sun,7,7,@,JAX,L 16-32,6.5,did not cover,42.5,over,early
103,CLE,10/20/24,5.5,41,62,Sun,7,7,,CIN,L 14-21,5.5,did not cover,41,under,early
104,MIA,10/20/24,3,43.5,68,Sun,6,7,@,IND,L 10-16,3,did not cover,43.5,under,early
105,GNB,10/20/24,-3,48,72,Sun,7,7,,HOU,W 24-22,-3,did not cover,48,under,early
106,IND,10/20/24,-3,43.5,68,Sun,7,7,,MIA,W 16-10,-3,covered,43.5,under,early
107,TEN,10/13/24,-2.5,43,80,Sun,5,6,,IND,L 17-20,-2.5,did not cover,43,under,early
108,WAS,10/13/24,6.5,51.5,75,Sun,6,6,@,BAL,L 23-30,6.5,did not cover,51.5,over,early
109,CLE,10/13/24,9.5,42.5,82,Sun,6,6,@,PHI,L 16-20,9.5,covered,42.5,under,early
110,ARI,10/13/24,5.5,47,50,Sun,6,6,@,GNB,L 13-34,5.5,did not cover,47,push,early
111,BAL,10/13/24,-6.5,51.5,75,Sun,6,6,,WAS,W 30-23,-6.5,covered,51.5,over,early
112,CHI,10/13/24,1,45,54,Sun,6,6,,JAX,W 35-16,1,covered,45,over,early
113,HOU,10/13/24,-7,37.5,53,Sun,6,6,@,NWE,W 41-21,-7,covered,37.5,over,early
114,JAX,10/13/24,-1,45,54,Sun,6,6,@,CHI,L 16-35,-1,did not cover,45,over,early
115,IND,10/13/24,2.5,43,80,Sun,6,6,@,TEN,W 20-17,2.5,covered,43,under,early
116,TAM,10/13/24,-3.5,41.5,76,Sun,6,6,@,NOR,W 51-27,-3.5,covered,41.5,over,early
117,GNB,10/13/24,-5.5,47,50,Sun,6,6,,ARI,W 34-13,-5.5,covered,47,push,early
118,NOR,10/13/24,3.5,41.5,76,Sun,6,6,,TAM,L 27-51,3.5,did not cover,41.5,over,early
119,NWE,10/13/24,7,37.5,53,Sun,6,6,,HOU,L 21-41,7,did not cover,37.5,over,early
120,PHI,10/13/24,-9.5,42.5,82,Sun,5,6,,CLE,W 20-16,-9.5,did not cover,42.5,under,early
121,CAR,10/6/24,4,40.5,74,Sun,5,5,@,CHI,L 10-36,4,did not cover,40.5,over,early
122,CLE,10/6/24,3,43.5,73,Sun,5,5,@,WAS,L 13-34,3,did not cover,43.5,over,early
123,BUF,10/6/24,1,47.5,86,Sun,5,5,@,HOU,L 20-23,1,did not cover,47.5,under,early
124,NWE,10/6/24,1,35,65,Sun,5,5,,MIA,L 10-15,1,did not cover,35,under,early
125,MIA,10/6/24,-1,35,65,Sun,5,5,@,NWE,W 15-10,-1,covered,35,under,early
126,WAS,10/6/24,-3,43.5,73,Sun,5,5,,CLE,W 34-13,-3,covered,43.5,over,early
127,HOU,10/6/24,-1,47.5,86,Sun,5,5,,BUF,W 23-20,-1,covered,47.5,under,early
128,CHI,10/6/24,-4,40.5,74,Sun,5,5,,CAR,W 36-10,-4,covered,40.5,over,early
129,NYJ,10/6/24,2.5,41,59,Sun,5,5,@,MIN,L 17-23,2.5,did not cover,41,under,early
130,CIN,10/6/24,1,48.5,81,Sun,5,5,,BAL,L 38-41 (OT),1,did not cover,48.5,over,early
131,IND,10/6/24,3,45,74,Sun,5,5,@,JAX,L 34-37,3,push,45,over,early
132,BAL,10/6/24,-1,48.5,81,Sun,5,5,@,CIN,W 41-38 (OT),-1,covered,48.5,over,early
133,MIN,10/6/24,-2.5,41,59,Sun,5,5,,NYJ,W 23-17,-2.5,covered,41,under,early
134,JAX,10/6/24,-3,45,74,Sun,5,5,,IND,W 37-34,-3,push,45,over,early
135,ATL,9/29/24,-2.5,41,75,Sun,4,4,,NOR,W 26-24,-2.5,did not cover,41,over,early
136,TAM,9/29/24,1,42.5,88,Sun,4,4,,PHI,W 33-16,1,covered,42.5,over,early
137,PHI,9/29/24,-1,42.5,88,Sun,4,4,@,TAM,L 16-33,-1,did not cover,42.5,over,early
138,DEN,9/29/24,9,40,67,Sun,4,4,@,NYJ,W 10-9,9,covered,40,under,early
139,GNB,9/29/24,-3,44,71,Sun,4,4,,MIN,L 29-31,-3,did not cover,44,over,early
140,CIN,9/29/24,-4.5,47,78,Sun,4,4,@,CAR,W 34-24,-4.5,covered,47,over,early
141,NYJ,9/29/24,-9,40,67,Sun,4,4,,DEN,L 9-10,-9,did not cover,40,under,early
142,JAX,9/29/24,5.5,44.5,82,Sun,4,4,@,HOU,L 20-24,5.5,covered,44.5,under,early
143,PIT,9/29/24,-1,40.5,70,Sun,4,4,@,IND,L 24-27,-1,did not cover,40.5,over,early
144,IND,9/29/24,1,40.5,70,Sun,4,4,,PIT,W 27-24,1,covered,40.5,over,early
145,HOU,9/29/24,-5.5,44.5,82,Sun,4,4,,JAX,W 24-20,-5.5,did not cover,44.5,under,early
146,CHI,9/29/24,-3,40.5,70,Sun,4,4,,LAR,W 24-18,-3,covered,40.5,over,early
147,MIN,9/29/24,3,44,71,Sun,4,4,@,GNB,W 31-29,3,covered,44,over,early
148,CAR,9/29/24,4.5,47,78,Sun,4,4,,CIN,L 24-34,4.5,did not cover,47,over,early
149,NOR,9/29/24,2.5,41,75,Sun,4,4,@,ATL,L 24-26,2.5,covered,41,over,early
150,LAR,9/29/24,3,40.5,70,Sun,4,4,@,CHI,L 18-24,3,did not cover,40.5,over,early
151,PHI,9/22/24,2.5,49.5,87,Sun,3,3,@,NOR,W 15-12,2.5,covered,49.5,under,early
152,MIN,9/22/24,1,46.5,63,Sun,3,3,,HOU,W 34-7,1,covered,46.5,under,early
153,TEN,9/22/24,-3,37.5,87,Sun,3,3,,GNB,L 14-30,-3,did not cover,37.5,over,early
154,TAM,9/22/24,-6,41,85,Sun,3,3,,DEN,L 7-26,-6,did not cover,41,under,early
155,LAC,9/22/24,1,34.5,72,Sun,3,3,@,PIT,L 10-20,1,did not cover,34.5,under,early
156,NOR,9/22/24,-2.5,49.5,87,Sun,3,3,,PHI,L 12-15,-2.5,did not cover,49.5,under,early
157,PIT,9/22/24,-1,34.5,72,Sun,3,3,,LAC,W 20-10,-1,covered,34.5,under,early
158,DEN,9/22/24,6,41,85,Sun,3,3,@,TAM,W 26-7,6,covered,41,under,early
159,HOU,9/22/24,-1,46.5,63,Sun,3,3,@,MIN,L 7-34,-1,did not cover,46.5,under,early
160,NYG,9/22/24,6.5,38.5,76,Sun,3,3,@,CLE,W 21-15,6.5,covered,38.5,under,early
161,GNB,9/22/24,3,37.5,87,Sun,3,3,@,TEN,W 30-14,3,covered,37.5,over,early
162,CLE,9/22/24,-6.5,38.5,76,Sun,3,3,,NYG,L 15-21,-6.5,did not cover,38.5,under,early
163,IND,9/22/24,-1,43.5,75,Sun,3,3,,CHI,W 21-16,-1,covered,43.5,under,early
164,CHI,9/22/24,1,43.5,75,Sun,3,3,@,IND,L 16-21,1,did not cover,43.5,under,early
165,CAR,9/15/24,5,38.5,78,Sun,2,2,,LAC,L 3-26,5,did not cover,38.5,under,early
166,LAC,9/15/24,-5,38.5,78,Sun,2,2,@,CAR,W 26-3,-5,covered,38.5,under,early
167,DAL,9/15/24,-6,46.5,86,Sun,2,2,,NOR,L 19-44,-6,did not cover,46.5,over,early
168,DET,9/15/24,-7.5,51.5,68,Sun,2,2,,TAM,L 16-20,-7.5,did not cover,51.5,under,early
169,NOR,9/15/24,6,46.5,86,Sun,2,2,@,DAL,W 44-19,6,covered,46.5,over,early
170,NWE,9/15/24,3,38,77,Sun,2,2,,SEA,L 20-23 (OT),3,push,38,over,early
171,GNB,9/15/24,2.5,40.5,85,Sun,2,2,,IND,W 16-10,2.5,covered,40.5,under,early
172,IND,9/15/24,-2.5,40.5,85,Sun,2,2,@,GNB,L 10-16,-2.5,did not cover,40.5,under,early
173,SEA,9/15/24,-3,38,77,Sun,2,2,@,NWE,W 23-20 (OT),-3,push,38,over,early
174,JAX,9/15/24,-3,41,80,Sun,2,2,,CLE,L 13-18,-3,did not cover,41,under,early
175,MIN,9/15/24,4.5,46,82,Sun,2,2,,SFO,W 23-17,4.5,covered,46,under,early
176,BAL,9/15/24,-9,41.5,76,Sun,2,2,,LVR,L 23-26,-9,did not cover,41.5,over,early
177,TAM,9/15/24,7.5,51.5,68,Sun,2,2,@,DET,W 20-16,7.5,covered,51.5,under,early
178,SFO,9/15/24,-4.5,46,82,Sun,2,2,@,MIN,L 17-23,-4.5,did not cover,46,under,early
179,NYJ,9/15/24,-3.5,41,80,Sun,2,2,@,TEN,W 24-17,-3.5,covered,41,push,early
180,CLE,9/15/24,3,41,80,Sun,2,2,@,JAX,W 18-13,3,covered,41,under,early
181,LVR,9/15/24,9,41.5,76,Sun,2,2,@,BAL,W 26-23,9,covered,41.5,over,early
182,TEN,9/15/24,3.5,41,80,Sun,2,2,,NYJ,L 17-24,3.5,did not cover,41,push,early
183,NYG,9/15/24,1,43,82,Sun,2,2,@,WAS,L 18-21,1,did not cover,43,under,early
184,WAS,9/15/24,-1,43,82,Sun,2,2,,NYG,W 21-18,-1,covered,43,under,early
185,CHI,9/8/24,-3.5,44.5,67,Sun,1,1,,TEN,W 24-17,-3.5,covered,44.5,under,early
186,CIN,9/8/24,-7.5,41,66,Sun,1,1,,NWE,L 10-16,-7.5,did not cover,41,under,early
187,ARI,9/8/24,6.5,46.5,61,Sun,1,1,@,BUF,L 28-34,6.5,covered,46.5,over,early
188,BUF,9/8/24,-6.5,46.5,61,Sun,1,1,,ARI,W 34-28,-6.5,did not cover,46.5,over,early
189,NWE,9/8/24,7.5,41,66,Sun,1,1,@,CIN,W 16-10,7.5,covered,41,under,early
190,JAX,9/8/24,3.5,49.5,91,Sun,1,1,@,MIA,L 17-20,3.5,covered,49.5,under,early
191,MIN,9/8/24,-1.5,41,64,Sun,1,1,@,NYG,W 28-6,-1.5,covered,41,under,early
192,NYG,9/8/24,1.5,41,64,Sun,1,1,,MIN,L 6-28,1.5,did not cover,41,under,early
193,PIT,9/8/24,3.5,42,76,Sun,1,1,@,ATL,W 18-10,3.5,covered,42,under,early
194,TEN,9/8/24,3.5,44.5,67,Sun,1,1,@,CHI,L 17-24,3.5,did not cover,44.5,under,early
195,NOR,9/8/24,-4,41.5,77,Sun,1,1,,CAR,W 47-10,-4,covered,41.5,over,early
196,ATL,9/8/24,-3.5,42,76,Sun,1,1,,PIT,L 10-18,-3.5,did not cover,42,under,early
197,MIA,9/8/24,-3.5,49.5,91,Sun,1,1,,JAX,W 20-17,-3.5,did not cover,49.5,under,early
198,HOU,9/8/24,-2.5,48.5,63,Sun,1,1,@,IND,W 29-27,-2.5,did not cover,48.5,over,early
199,CAR,9/8/24,4,41.5,77,Sun,1,1,@,NOR,L 10-47,4,did not cover,41.5,over,early
200,IND,9/8/24,2.5,48.5,63,Sun,1,1,,HOU,L 27-29,2.5,covered,48.5,over,early
201,TEN,1/7/24,4,41.5,41,Sun,17,18,,JAX,W 28-20,4,covered,41.5,over,early
202,JAX,1/7/24,-4,41.5,41,Sun,17,18,@,TEN,L 20-28,-4,did not cover,41.5,over,early
203,NYJ,1/7/24,1.5,29.5,33,Sun,17,18,@,NWE,W 17-3,1.5,covered,29.5,under,early
204,NWE,1/7/24,-1.5,29.5,33,Sun,17,18,,NYJ,L 3-17,-1.5,did not cover,29.5,under,early
205,NOR,1/7/24,-3,42,52,Sun,17,18,,ATL,W 48-17,-3,covered,42,over,early
206,ATL,1/7/24,3,42,52,Sun,17,18,@,NOR,L 17-48,3,did not cover,42,over,early
207,MIN,1/7/24,3.5,46,34,Sun,17,18,@,DET,L 20-30,3.5,did not cover,46,over,early
208,DET,1/7/24,-3.5,46,34,Sun,17,18,,MIN,W 30-20,-3.5,covered,46,over,early
209,CLE,1/7/24,7.5,37,38,Sun,17,18,@,CIN,L 14-31,7.5,did not cover,37,over,early
210,CIN,1/7/24,-7.5,37,38,Sun,17,18,,CLE,W 31-14,-7.5,covered,37,over,early
211,TAM,1/7/24,-4,37,54,Sun,17,18,@,CAR,W 9-0,-4,covered,37,under,early
212,CAR,1/7/24,4,37,54,Sun,17,18,,TAM,L 0-9,4,did not cover,37,under,early
213,WAS,12/31/23,14,49.5,48,Sun,16,17,,SFO,L 10-27,14,did not cover,49.5,under,early
214,SFO,12/31/23,-14,49.5,48,Sun,16,17,@,WAS,W 27-10,-14,covered,49.5,under,early
215,TAM,12/31/23,-2.5,42,66,Sun,16,17,,NOR,L 13-23,-2.5,did not cover,42,under,early
216,NOR,12/31/23,2.5,42,66,Sun,16,17,@,TAM,W 23-13,2.5,covered,42,under,early
217,BAL,12/31/23,-3.5,46.5,50,Sun,16,17,,MIA,W 56-19,-3.5,covered,46.5,over,early
218,MIA,12/31/23,3.5,46.5,50,Sun,16,17,@,BAL,L 19-56,3.5,did not cover,46.5,over,early
219,PHI,12/31/23,-12,48,45,Sun,16,17,,ARI,L 31-35,-12,did not cover,48,over,early
220,ARI,12/31/23,12,48,45,Sun,16,17,@,PHI,W 35-31,12,covered,48,over,early
221,LAR,12/31/23,-6,43.5,41,Sun,16,17,@,NYG,W 26-25,-6,did not cover,43.5,over,early
222,NYG,12/31/23,6,43.5,41,Sun,16,17,,LAR,L 25-26,6,covered,43.5,over,early
223,JAX,12/31/23,-4,36.5,56,Sun,16,17,,CAR,W 26-0,-4,covered,36.5,under,early
224,CAR,12/31/23,4,36.5,56,Sun,16,17,@,JAX,L 0-26,4,did not cover,36.5,under,early
225,TEN,12/31/23,4,44,64,Sun,16,17,@,HOU,L 3-26,4,did not cover,44,under,early
226,HOU,12/31/23,-4,44,64,Sun,16,17,,TEN,W 26-3,-4,covered,44,under,early
227,LVR,12/31/23,4,42.5,32,Sun,16,17,@,IND,L 20-23,4,covered,42.5,over,early
228,IND,12/31/23,-4,42.5,32,Sun,16,17,,LVR,W 23-20,-4,did not cover,42.5,over,early
229,CHI,12/31/23,-2.5,38,32,Sun,16,17,,ATL,W 37-17,-2.5,covered,38,over,early
230,ATL,12/31/23,2.5,38,32,Sun,16,17,@,CHI,L 17-37,2.5,did not cover,38,over,early
231,NWE,12/31/23,14,40,35,Sun,16,17,@,BUF,L 21-27,14,covered,40,over,early
232,BUF,12/31/23,-14,40,35,Sun,16,17,,NWE,W 27-21,-14,did not cover,40,over,early
233,LVR,12/25/23,10.5,40.5,38,Mon,15,16,@,KAN,W 20-14,10.5,covered,40.5,under,early
234,KAN,12/25/23,-10.5,40.5,38,Mon,15,16,,LVR,L 14-20,-10.5,did not cover,40.5,under,early
235,SEA,12/24/23,-3.5,41.5,61,Sun,15,16,@,TEN,W 20-17,-3.5,did not cover,41.5,under,early
236,TEN,12/24/23,3.5,41.5,61,Sun,15,16,,SEA,L 17-20,3.5,covered,41.5,under,early
237,WAS,12/24/23,3,37.5,45,Sun,15,16,@,NYJ,L 28-30,3,covered,37.5,over,early
238,NYJ,12/24/23,-3,37.5,45,Sun,15,16,,WAS,W 30-28,-3,did not cover,37.5,over,early
239,MIN,12/24/23,3,47.5,54,Sun,15,16,,DET,L 24-30,3,did not cover,47.5,over,early
240,DET,12/24/23,-3,47.5,54,Sun,15,16,@,MIN,W 30-24,-3,covered,47.5,over,early
241,HOU,12/24/23,3,40,68,Sun,15,16,,CLE,L 22-36,3,did not cover,40,over,early
242,CLE,12/24/23,-3,40,68,Sun,15,16,@,HOU,W 36-22,-3,covered,40,over,early
243,GNB,12/24/23,-4,37.5,67,Sun,15,16,@,CAR,W 33-30,-4,did not cover,37.5,over,early
244,CAR,12/24/23,4,37.5,67,Sun,15,16,,GNB,L 30-33,4,covered,37.5,over,early
245,IND,12/24/23,3,45,60,Sun,15,16,@,ATL,L 10-29,3,did not cover,45,under,early
246,ATL,12/24/23,-3,45,60,Sun,15,16,,IND,W 29-10,-3,covered,45,under,early
247,TEN,12/17/23,-3,37,48,Sun,14,15,,HOU,L 16-19 (OT),-3,did not cover,37,under,early
248,HOU,12/17/23,3,37,48,Sun,14,15,@,TEN,W 19-16 (OT),3,covered,37,under,early
249,NWE,12/17/23,8.5,37,53,Sun,14,15,,KAN,L 17-27,8.5,did not cover,37,over,early
250,KAN,12/17/23,-8.5,37,53,Sun,14,15,@,NWE,W 27-17,-8.5,covered,37,over,early
251,NYG,12/17/23,5.5,39.5,56,Sun,14,15,@,NOR,L 6-24,5.5,did not cover,39.5,under,early
252,NOR,12/17/23,-5.5,39.5,56,Sun,14,15,,NYG,W 24-6,-5.5,covered,39.5,under,early
253,NYJ,12/17/23,9,36.5,76,Sun,14,15,@,MIA,L 0-30,9,did not cover,36.5,under,early
