Rk,Team,Date,Spread,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result,after_bye
18,MIA,10/20/24,3,43.5,68,Sun,6,7,@,IND,L 10-16,3,did not cover,43.5,under,1
19,MIN,10/20/24,-1,50.5,69,Sun,6,7,,DET,L 29-31,-1,did not cover,50.5,over,1
20,LAR,10/20/24,-7,43.5,80,Sun,6,7,,LVR,W 20-15,-7,did not cover,43.5,under,1
21,TEN,10/13/24,-2.5,43,80,Sun,5,6,,IND,L 17-20,-2.5,did not cover,43,under,1
22,LAC,10/13/24,-3,36,65,Sun,5,6,@,DEN,W 23-16,-3,covered,36,over,1
23,PHI,10/13/24,-9.5,42.5,82,Sun,5,6,,CLE,W 20-16,-9.5,did not cover,42.5,under,1
24,DET,10/13/24,-3.5,52.5,98,Sun,5,6,@,DAL,W 47-9,-3.5,covered,52.5,over,1
1,DET,12/5/24,-3.5,51.5,68,Thu,13,14,,GNB,W 34-31,-3.5,did not cover,51.5,over,0
2,GNB,12/5/24,3.5,51.5,68,Thu,13,14,@,DET,L 31-34,3.5,covered,51.5,over,0
3,CLE,12/2/24,6,42,48,Mon,12,13,@,DEN,L 32-41,6,did not cover,42,over,0
4,DEN,12/2/24,-6,42,48,Mon,13,13,,CLE,W 41-32,-6,covered,42,over,0
5,CAR,12/1/24,6,46.5,51,Sun,12,13,,TAM,L 23-26 (OT),6,covered,46.5,over,0
6,IND,12/1/24,-2.5,42.5,36,Sun,13,13,@,NWE,W 25-24,-2.5,did not cover,42.5,over,0
7,ARI,12/1/24,3.5,44.5,12,Sun,12,13,@,MIN,L 22-23,3.5,covered,44.5,over,0
8,MIN,12/1/24,-3.5,44.5,12,Sun,12,13,,ARI,W 23-22,-3.5,did not cover,44.5,over,0
9,NWE,12/1/24,2.5,42.5,36,Sun,13,13,,IND,L 24-25,2.5,covered,42.5,over,0
10,TEN,12/1/24,6,44.5,42,Sun,12,13,@,WAS,L 19-42,6,did not cover,44.5,over,0
11,PHI,12/1/24,3,51,41,Sun,12,13,@,BAL,W 24-19,3,covered,51,under,0
12,PIT,12/1/24,3,47,32,Sun,12,13,@,CIN,W 44-38,3,covered,47,over,0
13,LAR,12/1/24,-2.5,49.5,64,Sun,12,13,@,NOR,W 21-14,-2.5,covered,49.5,under,0
14,BAL,12/1/24,-3,51,41,Sun,13,13,,PHI,L 19-24,-3,did not cover,51,under,0
15,SEA,12/1/24,0,42,37,Sun,12,13,@,NYJ,W 26-21,0,covered,42,over,0
16,SFO,12/1/24,6,44.5,28,Sun,12,13,@,BUF,L 10-35,6,did not cover,44.5,over,0
17,TAM,12/1/24,-6,46.5,51,Sun,12,13,@,CAR,W 26-23 (OT),-6,did not cover,46.5,over,0
18,WAS,12/1/24,-6,44.5,42,Sun,13,13,,TEN,W 42-19,-6,covered,44.5,over,0
19,KAN,11/29/24,-13,42.5,37,Fri,12,13,,LVR,W 19-17,-13,did not cover,42.5,under,0
20,LVR,11/29/24,13,42.5,37,Fri,12,13,@,KAN,L 17-19,13,covered,42.5,under,0
21,CHI,11/28/24,9.5,48,38,Thu,12,13,@,DET,L 20-23,9.5,covered,48,under,0
22,DAL,11/28/24,-3,37.5,49,Thu,12,13,,NYG,W 27-20,-3,covered,37.5,over,0
23,DET,11/28/24,-9.5,48,38,Thu,12,13,,CHI,W 23-20,-9.5,did not cover,48,under,0
24,GNB,11/28/24,-3,47.5,27,Thu,12,13,,MIA,W 30-17,-3,covered,47.5,under,0
25,MIA,11/28/24,3,47.5,27,Thu,12,13,@,GNB,L 17-30,3,did not cover,47.5,under,0
26,NYG,11/28/24,3,37.5,49,Thu,12,13,@,DAL,L 20-27,3,did not cover,37.5,over,0
27,BAL,11/25/24,-2.5,50.5,62,Mon,12,12,@,LAC,W 30-23,-2.5,covered,50.5,over,0
28,LAC,11/25/24,2.5,50.5,62,Mon,11,12,,BAL,L 23-30,2.5,did not cover,50.5,over,0
29,CHI,11/24/24,3.5,39.5,47,Sun,11,12,,MIN,L 27-30 (OT),3.5,covered,39.5,over,0
30,IND,11/24/24,7.5,50,51,Sun,12,12,,DET,L 6-24,7.5,did not cover,50,under,0
31,DAL,11/24/24,10.5,45,55,Sun,11,12,@,WAS,W 34-26,10.5,covered,45,over,0
32,DEN,11/24/24,-6,41,63,Sun,12,12,@,LVR,W 29-19,-6,covered,41,over,0
33,DET,11/24/24,-7.5,50,51,Sun,11,12,@,IND,W 24-6,-7.5,covered,50,under,0
34,GNB,11/24/24,-5.5,44.5,43,Sun,11,12,,SFO,W 38-10,-5.5,covered,44.5,over,0
35,HOU,11/24/24,-9,40.5,78,Sun,12,12,,TEN,L 27-32,-9,did not cover,40.5,over,0
36,KAN,11/24/24,-11,43,61,Sun,11,12,@,CAR,W 30-27,-11,did not cover,43,over,0
37,MIA,11/24/24,-7,46,77,Sun,11,12,,NWE,W 34-15,-7,covered,46,over,0
38,MIN,11/24/24,-3.5,39.5,47,Sun,11,12,@,CHI,W 30-27 (OT),-3.5,did not cover,39.5,over,0
39,NWE,11/24/24,7,46,77,Sun,12,12,@,MIA,L 15-34,7,did not cover,46,over,0
40,TEN,11/24/24,9,40.5,78,Sun,11,12,@,HOU,W 32-27,9,covered,40.5,over,0
41,PHI,11/24/24,-3,49,57,Sun,11,12,@,LAR,W 37-20,-3,covered,49,over,0
42,LVR,11/24/24,6,41,63,Sun,11,12,,DEN,L 19-29,6,did not cover,41,over,0
43,LAR,11/24/24,3,49,57,Sun,11,12,,PHI,L 20-37,3,did not cover,49,over,0
44,SEA,11/24/24,0,47,45,Sun,11,12,,ARI,W 16-6,0,covered,47,under,0
45,SFO,11/24/24,5.5,44.5,43,Sun,11,12,@,GNB,L 10-38,5.5,did not cover,44.5,over,0
46,WAS,11/24/24,-10.5,45,55,Sun,12,12,,DAL,L 26-34,-10.5,did not cover,45,over,0
47,CLE,11/21/24,3.5,36.5,36,Thu,11,12,,PIT,W 24-19,3.5,covered,36.5,over,0
48,PIT,11/21/24,-3.5,36.5,36,Thu,11,12,@,CLE,L 19-24,-3.5,did not cover,36.5,over,0
49,DAL,11/18/24,7,41,64,Mon,10,11,,HOU,L 10-34,7,did not cover,41,over,0
50,HOU,11/18/24,-7,41,64,Mon,11,11,@,DAL,W 34-10,-7,covered,41,over,0
51,ATL,11/17/24,2.5,44.5,55,Sun,11,11,@,DEN,L 6-38,2.5,did not cover,44.5,under,0
52,BUF,11/17/24,-1.5,46,50,Sun,11,11,,KAN,W 30-21,-1.5,covered,46,over,0
53,CHI,11/17/24,5.5,40.5,54,Sun,10,11,,GNB,L 19-20,5.5,covered,40.5,under,0
54,CIN,11/17/24,1,48.5,61,Sun,11,11,@,LAC,L 27-34,1,did not cover,48.5,over,0
55,IND,11/17/24,4,43.5,62,Sun,11,11,@,NYJ,W 28-27,4,covered,43.5,over,0
56,DEN,11/17/24,-2.5,44.5,55,Sun,11,11,,ATL,W 38-6,-2.5,covered,44.5,under,0
57,DET,11/17/24,-14,47,68,Sun,10,11,,JAX,W 52-6,-14,covered,47,over,0
58,JAX,11/17/24,14,47,68,Sun,11,11,@,DET,L 6-52,14,did not cover,47,over,0
59,KAN,11/17/24,1.5,46,50,Sun,10,11,@,BUF,L 21-30,1.5,did not cover,46,over,0
60,MIA,11/17/24,-7.5,43.5,80,Sun,10,11,,LVR,W 34-19,-7.5,covered,43.5,over,0
61,MIN,11/17/24,-6,39.5,66,Sun,10,11,@,TEN,W 23-13,-6,covered,39.5,under,0
62,NOR,11/17/24,1,44,76,Sun,11,11,,CLE,W 35-14,1,covered,44,over,0
63,NWE,11/17/24,4.5,43.5,59,Sun,11,11,,LAR,L 22-28,4.5,did not cover,43.5,over,0
64,NYJ,11/17/24,-4,43.5,62,Sun,11,11,,IND,L 27-28,-4,did not cover,43.5,over,0
65,TEN,11/17/24,6,39.5,66,Sun,10,11,,MIN,L 13-23,6,did not cover,39.5,under,0
66,PIT,11/17/24,3,48.5,52,Sun,10,11,,BAL,W 18-16,3,covered,48.5,under,0
67,LAR,11/17/24,-4.5,43.5,59,Sun,10,11,@,NWE,W 28-22,-4.5,covered,43.5,over,0
68,BAL,11/17/24,-3,48.5,52,Sun,11,11,@,PIT,L 16-18,-3,did not cover,48.5,under,0
69,LAC,11/17/24,-1,48.5,61,Sun,10,11,,CIN,W 34-27,-1,covered,48.5,over,0
70,SFO,11/17/24,-6.5,48,59,Sun,10,11,,SEA,L 17-20,-6.5,did not cover,48,under,0
71,PHI,11/14/24,-3.5,48.5,46,Thu,10,11,,WAS,W 26-18,-3.5,covered,48.5,under,0
72,WAS,11/14/24,3.5,48.5,46,Thu,11,11,@,PHI,L 18-26,3.5,did not cover,48.5,under,0
73,MIA,11/11/24,2.5,49,60,Mon,9,10,@,LAR,W 23-15,2.5,covered,49,under,0
74,LAR,11/11/24,-2.5,49,60,Mon,9,10,,MIA,L 15-23,-2.5,did not cover,49,under,0
75,ATL,11/10/24,-3.5,46.5,78,Sun,10,10,@,NOR,L 17-20,-3.5,did not cover,46.5,under,0
76,BUF,11/10/24,-4,46.5,63,Sun,10,10,@,IND,W 30-20,-4,covered,46.5,over,0
77,CAR,11/10/24,6.5,40.5,40,Sun,10,10,,NYG,W 20-17 (OT),6.5,covered,40.5,under,0
78,CHI,11/10/24,-6,38.5,60,Sun,9,10,,NWE,L 3-19,-6,did not cover,38.5,under,0
79,IND,11/10/24,4,46.5,63,Sun,10,10,,BUF,L 20-30,4,did not cover,46.5,over,0
80,ARI,11/10/24,1.5,46.5,79,Sun,10,10,,NYJ,W 31-6,1.5,covered,46.5,under,0
81,DAL,11/10/24,7.5,43.5,78,Sun,9,10,,PHI,L 6-34,7.5,did not cover,43.5,under,0
82,DEN,11/10/24,7.5,42,57,Sun,10,10,@,KAN,L 14-16,7.5,covered,42,under,0
83,DET,11/10/24,-3.5,49,73,Sun,9,10,@,HOU,W 26-23,-3.5,did not cover,49,push,0
84,HOU,11/10/24,3.5,49,73,Sun,10,10,,DET,L 23-26,3.5,covered,49,push,0
85,JAX,11/10/24,7,43.5,79,Sun,10,10,,MIN,L 7-12,7,covered,43.5,under,0
86,KAN,11/10/24,-7.5,42,57,Sun,9,10,,DEN,W 16-14,-7.5,did not cover,42,under,0
87,MIN,11/10/24,-7,43.5,79,Sun,9,10,@,JAX,W 12-7,-7,did not cover,43.5,under,0
88,NOR,11/10/24,3.5,46.5,78,Sun,10,10,,ATL,W 20-17,3.5,covered,46.5,under,0
89,NWE,11/10/24,6,38.5,60,Sun,10,10,@,CHI,W 19-3,6,covered,38.5,under,0
90,NYG,11/10/24,-6.5,40.5,40,Sun,10,10,@,CAR,L 17-20 (OT),-6.5,did not cover,40.5,under,0
91,NYJ,11/10/24,-1.5,46.5,79,Sun,10,10,@,ARI,L 6-31,-1.5,did not cover,46.5,under,0
92,TEN,11/10/24,7.5,38.5,73,Sun,9,10,@,LAC,L 17-27,7.5,did not cover,38.5,over,0
93,PHI,11/10/24,-7.5,43.5,78,Sun,9,10,@,DAL,W 34-6,-7.5,covered,43.5,under,0
94,LAC,11/10/24,-7.5,38.5,73,Sun,9,10,,TEN,W 27-17,-7.5,covered,38.5,over,0
95,TAM,11/10/24,6.5,50.5,85,Sun,10,10,,SFO,L 20-23,6.5,covered,50.5,under,0
96,WAS,11/10/24,-2.5,45.5,57,Sun,10,10,,PIT,L 27-28,-2.5,did not cover,45.5,over,0
97,CIN,11/7/24,6,53.5,69,Thu,10,10,@,BAL,L 34-35,6,covered,53.5,over,0
98,BAL,11/7/24,-6,53.5,69,Thu,10,10,,CIN,W 35-34,-6,did not cover,53.5,over,0
99,KAN,11/4/24,-9,45.5,63,Mon,8,9,,TAM,W 30-24 (OT),-9,did not cover,45.5,over,0
100,TAM,11/4/24,9,45.5,63,Mon,9,9,@,KAN,L 24-30 (OT),9,covered,45.5,over,0
101,ATL,11/3/24,-3,52,66,Sun,9,9,,DAL,W 27-21,-3,covered,52,under,0
102,BUF,11/3/24,-6,49.5,54,Sun,9,9,,MIA,W 30-27,-6,did not cover,49.5,over,0
103,CAR,11/3/24,7,43.5,66,Sun,9,9,,NOR,W 23-22,7,covered,43.5,over,0
104,CHI,11/3/24,1.5,44.5,71,Sun,8,9,@,ARI,L 9-29,1.5,did not cover,44.5,under,0
105,CIN,11/3/24,-7,45,67,Sun,9,9,,LVR,W 41-24,-7,covered,45,over,0
106,CLE,11/3/24,1,42.5,57,Sun,9,9,,LAC,L 10-27,1,did not cover,42.5,under,0
107,IND,11/3/24,5.5,47,47,Sun,9,9,@,MIN,L 13-21,5.5,did not cover,47,under,0
108,ARI,11/3/24,-1.5,44.5,71,Sun,9,9,,CHI,W 29-9,-1.5,covered,44.5,under,0
109,DAL,11/3/24,3,52,66,Sun,8,9,@,ATL,L 21-27,3,did not cover,52,under,0
110,DEN,11/3/24,9.5,46.5,57,Sun,9,9,@,BAL,L 10-41,9.5,did not cover,46.5,over,0
111,DET,11/3/24,-2.5,47.5,50,Sun,8,9,@,GNB,W 24-14,-2.5,covered,47.5,under,0
112,GNB,11/3/24,2.5,47.5,50,Sun,9,9,,DET,L 14-24,2.5,did not cover,47.5,under,0
113,JAX,11/3/24,7.5,45.5,57,Sun,9,9,@,PHI,L 23-28,7.5,covered,45.5,over,0
114,MIA,11/3/24,6,49.5,54,Sun,8,9,@,BUF,L 27-30,6,covered,49.5,over,0
115,MIN,11/3/24,-5.5,47,47,Sun,8,9,,IND,W 21-13,-5.5,covered,47,under,0
116,NOR,11/3/24,-7,43.5,66,Sun,9,9,@,CAR,L 22-23,-7,did not cover,43.5,over,0
117,NWE,11/3/24,3.5,38.5,75,Sun,9,9,@,TEN,L 17-20 (OT),3.5,covered,38.5,under,0
118,NYG,11/3/24,4,44,52,Sun,9,9,,WAS,L 22-27,4,did not cover,44,over,0
119,TEN,11/3/24,-3.5,38.5,75,Sun,8,9,,NWE,W 20-17 (OT),-3.5,did not cover,38.5,under,0
120,PHI,11/3/24,-7.5,45.5,57,Sun,8,9,,JAX,W 28-23,-7.5,did not cover,45.5,over,0
121,LVR,11/3/24,7,45,67,Sun,9,9,@,CIN,L 24-41,7,did not cover,45,over,0
122,LAR,11/3/24,-1,48,52,Sun,8,9,@,SEA,W 26-20 (OT),-1,covered,48,under,0
123,BAL,11/3/24,-9.5,46.5,57,Sun,9,9,,DEN,W 41-10,-9.5,covered,46.5,over,0
124,LAC,11/3/24,-1,42.5,57,Sun,8,9,@,CLE,W 27-10,-1,covered,42.5,under,0
125,SEA,11/3/24,1,48,52,Sun,9,9,,LAR,L 20-26 (OT),1,did not cover,48,under,0
126,WAS,11/3/24,-4,44,52,Sun,9,9,@,NYG,W 27-22,-4,covered,44,over,0
127,HOU,10/31/24,2,42,71,Thu,9,9,@,NYJ,L 13-21,2,did not cover,42,under,0
128,NYJ,10/31/24,-2,42,71,Thu,9,9,,HOU,W 21-13,-2,covered,42,under,0
129,NYG,10/28/24,6,36.5,54,Mon,8,8,@,PIT,L 18-26,6,did not cover,36.5,over,0
130,PIT,10/28/24,-6,36.5,54,Mon,8,8,,NYG,W 26-18,-6,covered,36.5,over,0
131,ATL,10/27/24,-2.5,45.5,79,Sun,8,8,@,TAM,W 31-26,-2.5,covered,45.5,over,0
132,BUF,10/27/24,-3,45.5,55,Sun,8,8,@,SEA,W 31-10,-3,covered,45.5,under,0
133,CAR,10/27/24,11,41,76,Sun,8,8,@,DEN,L 14-28,11,did not cover,41,over,0
134,CIN,10/27/24,-2.5,47.5,59,Sun,8,8,,PHI,L 17-37,-2.5,did not cover,47.5,over,0
135,CLE,10/27/24,9,45.5,52,Sun,8,8,,BAL,W 29-24,9,covered,45.5,over,0
136,IND,10/27/24,5,45.5,82,Sun,8,8,@,HOU,L 20-23,5,covered,45.5,under,0
137,ARI,10/27/24,4,46,82,Sun,8,8,@,MIA,W 28-27,4,covered,46,over,0
138,DEN,10/27/24,-11,41,76,Sun,8,8,,CAR,W 28-14,-11,covered,41,over,0
139,DET,10/27/24,-11.5,44.5,56,Sun,7,8,,TEN,W 52-14,-11.5,covered,44.5,over,0
140,GNB,10/27/24,-4,49.5,84,Sun,8,8,@,JAX,W 30-27,-4,did not cover,49.5,over,0
141,HOU,10/27/24,-5,45.5,82,Sun,8,8,,IND,W 23-20,-5,did not cover,45.5,under,0
142,JAX,10/27/24,4,49.5,84,Sun,8,8,,GNB,L 27-30,4,covered,49.5,over,0
143,KAN,10/27/24,-10,41.5,80,Sun,7,8,@,LVR,W 27-20,-10,did not cover,41.5,over,0
144,MIA,10/27/24,-4,46,82,Sun,7,8,,ARI,L 27-28,-4,did not cover,46,over,0
145,NOR,10/27/24,7,41,76,Sun,8,8,@,LAC,L 8-26,7,did not cover,41,under,0
146,NWE,10/27/24,7,41,53,Sun,8,8,,NYJ,W 25-22,7,covered,41,over,0
147,NYJ,10/27/24,-7,41,53,Sun,8,8,@,NWE,L 22-25,-7,did not cover,41,over,0
148,TEN,10/27/24,11.5,44.5,56,Sun,7,8,@,DET,L 14-52,11.5,did not cover,44.5,over,0
149,PHI,10/27/24,2.5,47.5,59,Sun,7,8,@,CIN,W 37-17,2.5,covered,47.5,over,0
150,LVR,10/27/24,10,41.5,80,Sun,8,8,,KAN,L 20-27,10,covered,41.5,over,0
151,BAL,10/27/24,-9,45.5,52,Sun,8,8,@,CLE,L 24-29,-9,did not cover,45.5,over,0
152,LAC,10/27/24,-7,41,76,Sun,7,8,,NOR,W 26-8,-7,covered,41,under,0
153,SEA,10/27/24,3,45.5,55,Sun,8,8,,BUF,L 10-31,3,did not cover,45.5,under,0
154,SFO,10/27/24,-4.5,47,69,Sun,8,8,,DAL,W 30-24,-4.5,covered,47,over,0
155,TAM,10/27/24,2.5,45.5,79,Sun,8,8,,ATL,L 26-31,2.5,did not cover,45.5,over,0
156,WAS,10/27/24,1,45,58,Sun,8,8,,CHI,W 18-15,1,covered,45,under,0
157,MIN,10/24/24,-3,48,66,Thu,7,8,@,LAR,L 20-30,-3,did not cover,48,over,0
158,LAR,10/24/24,3,48,66,Thu,7,8,,MIN,W 30-20,3,covered,48,over,0
159,ARI,10/21/24,1,44.5,85,Mon,7,7,,LAC,W 17-15,1,covered,44.5,under,0
160,BAL,10/21/24,-3.5,50,80,Mon,7,7,@,TAM,W 41-31,-3.5,covered,50,over,0
161,LAC,10/21/24,-1,44.5,85,Mon,6,7,@,ARI,L 15-17,-1,did not cover,44.5,under,0
162,TAM,10/21/24,3.5,50,80,Mon,7,7,,BAL,L 31-41,3.5,did not cover,50,over,0
163,ATL,10/20/24,-3,52,69,Sun,7,7,,SEA,L 14-34,-3,did not cover,52,under,0
164,BUF,10/20/24,-9.5,41,66,Sun,7,7,,TEN,W 34-10,-9.5,covered,41,over,0
165,CAR,10/20/24,9.5,51.5,76,Sun,7,7,@,WAS,L 7-40,9.5,did not cover,51.5,under,0
166,CIN,10/20/24,-5.5,41,62,Sun,7,7,@,CLE,W 21-14,-5.5,covered,41,under,0
167,CLE,10/20/24,5.5,41,62,Sun,7,7,,CIN,L 14-21,5.5,did not cover,41,under,0
168,IND,10/20/24,-3,43.5,68,Sun,7,7,,MIA,W 16-10,-3,covered,43.5,under,0
169,DET,10/20/24,1,50.5,69,Sun,6,7,@,MIN,W 31-29,1,covered,50.5,over,0
170,GNB,10/20/24,-3,48,72,Sun,7,7,,HOU,W 24-22,-3,did not cover,48,under,0
171,HOU,10/20/24,3,48,72,Sun,7,7,@,GNB,L 22-24,3,covered,48,under,0
172,JAX,10/20/24,-6.5,42.5,63,Sun,7,7,,NWE,W 32-16,-6.5,covered,42.5,over,0
173,NWE,10/20/24,6.5,42.5,63,Sun,7,7,@,JAX,L 16-32,6.5,did not cover,42.5,over,0
174,NYG,10/20/24,3,43,71,Sun,7,7,,PHI,L 3-28,3,did not cover,43,under,0
175,NYJ,10/20/24,-1.5,39,60,Sun,7,7,@,PIT,L 15-37,-1.5,did not cover,39,over,0
176,TEN,10/20/24,9.5,41,66,Sun,6,7,@,BUF,L 10-34,9.5,did not cover,41,over,0
177,PHI,10/20/24,-3,43,71,Sun,6,7,@,NYG,W 28-3,-3,covered,43,under,0
178,PIT,10/20/24,1.5,39,60,Sun,7,7,,NYJ,W 37-15,1.5,covered,39,over,0
179,LVR,10/20/24,7,43.5,80,Sun,7,7,@,LAR,L 15-20,7,covered,43.5,under,0
180,SEA,10/20/24,3,52,69,Sun,7,7,@,ATL,W 34-14,3,covered,52,under,0
181,SFO,10/20/24,-1.5,47,78,Sun,7,7,,KAN,L 18-28,-1.5,did not cover,47,under,0
182,WAS,10/20/24,-9.5,51.5,76,Sun,7,7,,CAR,W 40-7,-9.5,covered,51.5,under,0
183,DEN,10/17/24,-2.5,37,65,Thu,7,7,@,NOR,W 33-10,-2.5,covered,37,over,0
184,NOR,10/17/24,2.5,37,65,Thu,7,7,,DEN,L 10-33,2.5,did not cover,37,over,0
185,BUF,10/14/24,-1,40.5,49,Mon,6,6,@,NYJ,W 23-20,-1,covered,40.5,over,0
186,NYJ,10/14/24,1,40.5,49,Mon,6,6,,BUF,L 20-23,1,did not cover,40.5,over,0
187,ATL,10/13/24,-6.5,47,79,Sun,6,6,@,CAR,W 38-20,-6.5,covered,47,over,0
188,CAR,10/13/24,6.5,47,79,Sun,6,6,,ATL,L 20-38,6.5,did not cover,47,over,0
189,CHI,10/13/24,1,45,54,Sun,6,6,,JAX,W 35-16,1,covered,45,over,0
190,CIN,10/13/24,-3.5,46.5,63,Sun,6,6,@,NYG,W 17-7,-3.5,covered,46.5,under,0
191,CLE,10/13/24,9.5,42.5,82,Sun,6,6,@,PHI,L 16-20,9.5,covered,42.5,under,0
192,IND,10/13/24,2.5,43,80,Sun,6,6,@,TEN,W 20-17,2.5,covered,43,under,0
193,ARI,10/13/24,5.5,47,50,Sun,6,6,@,GNB,L 13-34,5.5,did not cover,47,push,0
194,DAL,10/13/24,3.5,52.5,98,Sun,6,6,,DET,L 9-47,3.5,did not cover,52.5,over,0
195,DEN,10/13/24,3,36,65,Sun,6,6,,LAC,L 16-23,3,did not cover,36,over,0
196,GNB,10/13/24,-5.5,47,50,Sun,6,6,,ARI,W 34-13,-5.5,covered,47,push,0
197,HOU,10/13/24,-7,37.5,53,Sun,6,6,@,NWE,W 41-21,-7,covered,37.5,over,0
198,JAX,10/13/24,-1,45,54,Sun,6,6,@,CHI,L 16-35,-1,did not cover,45,over,0
199,NOR,10/13/24,3.5,41.5,76,Sun,6,6,,TAM,L 27-51,3.5,did not cover,41.5,over,0
200,NWE,10/13/24,7,37.5,53,Sun,6,6,,HOU,L 21-41,7,did not cover,37.5,over,0
201,NYG,10/13/24,3.5,46.5,63,Sun,6,6,,CIN,L 7-17,3.5,did not cover,46.5,under,0
202,PIT,10/13/24,-3,36.5,85,Sun,6,6,@,LVR,W 32-13,-3,covered,36.5,over,0
203,LVR,10/13/24,3,36.5,85,Sun,6,6,,PIT,L 13-32,3,did not cover,36.5,over,0
204,BAL,10/13/24,-6.5,51.5,75,Sun,6,6,,WAS,W 30-23,-6.5,covered,51.5,over,0
205,TAM,10/13/24,-3.5,41.5,76,Sun,6,6,@,NOR,W 51-27,-3.5,covered,41.5,over,0
206,WAS,10/13/24,6.5,51.5,75,Sun,6,6,@,BAL,L 23-30,6.5,did not cover,51.5,over,0
207,SEA,10/10/24,3.5,49,59,Thu,6,6,,SFO,L 24-36,3.5,did not cover,49,over,0
208,SFO,10/10/24,-3.5,49,59,Thu,6,6,@,SEA,W 36-24,-3.5,covered,49,over,0
209,KAN,10/7/24,-5.5,43,70,Mon,5,5,,NOR,W 26-13,-5.5,covered,43,under,0
210,NOR,10/7/24,5.5,43,70,Mon,5,5,@,KAN,L 13-26,5.5,did not cover,43,under,0
211,BUF,10/6/24,1,47.5,86,Sun,5,5,@,HOU,L 20-23,1,did not cover,47.5,under,0
212,CAR,10/6/24,4,40.5,74,Sun,5,5,@,CHI,L 10-36,4,did not cover,40.5,over,0
213,CHI,10/6/24,-4,40.5,74,Sun,5,5,,CAR,W 36-10,-4,covered,40.5,over,0
214,CIN,10/6/24,1,48.5,81,Sun,5,5,,BAL,L 38-41 (OT),1,did not cover,48.5,over,0
215,CLE,10/6/24,3,43.5,73,Sun,5,5,@,WAS,L 13-34,3,did not cover,43.5,over,0
216,IND,10/6/24,3,45,74,Sun,5,5,@,JAX,L 34-37,3,push,45,over,0
217,ARI,10/6/24,7,49,89,Sun,5,5,@,SFO,W 24-23,7,covered,49,under,0
218,DAL,10/6/24,2.5,43.5,67,Sun,5,5,@,PIT,W 20-17,2.5,covered,43.5,under,0
219,DEN,10/6/24,-3,35.5,73,Sun,5,5,,LVR,W 34-18,-3,covered,35.5,over,0
220,GNB,10/6/24,-3,48.5,73,Sun,5,5,@,LAR,W 24-19,-3,covered,48.5,under,0
221,HOU,10/6/24,-1,47.5,86,Sun,5,5,,BUF,W 23-20,-1,covered,47.5,under,0
222,JAX,10/6/24,-3,45,74,Sun,5,5,,IND,W 37-34,-3,push,45,over,0
223,MIA,10/6/24,-1,35,65,Sun,5,5,@,NWE,W 15-10,-1,covered,35,under,0
224,MIN,10/6/24,-2.5,41,59,Sun,5,5,,NYJ,W 23-17,-2.5,covered,41,under,0
225,NWE,10/6/24,1,35,65,Sun,5,5,,MIA,L 10-15,1,did not cover,35,under,0
226,NYG,10/6/24,7,43,61,Sun,5,5,@,SEA,W 29-20,7,covered,43,over,0
227,NYJ,10/6/24,2.5,41,59,Sun,5,5,@,MIN,L 17-23,2.5,did not cover,41,under,0
228,PIT,10/6/24,-2.5,43.5,67,Sun,5,5,,DAL,L 17-20,-2.5,did not cover,43.5,under,0
229,LVR,10/6/24,3,35.5,73,Sun,5,5,@,DEN,L 18-34,3,did not cover,35.5,over,0
